country,Code,year,gdp,145446-annotations
South Korea,KOR,1947,937.26,
South Korea,KOR,1948,1098.87,
South Korea,KOR,1949,1188.98,
South Korea,KOR,1950,998.09,
South Korea,KOR,1951,990.77,
South Korea,KOR,1952,1038.04,
South Korea,KOR,1953,1316.69,
South Korea,KOR,1954,1372.68,
South Korea,KOR,1955,1411.33,
South Korea,KOR,1956,1381.98,
South Korea,KOR,1957,1466.77,
South Korea,KOR,1958,1517.88,
South Korea,KOR,1959,1555.73,
South Korea,KOR,1960,1547.69,
South Korea,KOR,1961,1605.85,
South Korea,KOR,1962,1620.49,
South Korea,KOR,1963,1720.82,
South Korea,KOR,1964,1834.98,
South Korea,KOR,1965,1917.43,
South Korea,KOR,1966,2093.89,
South Korea,KOR,1967,2232.05,
South Korea,KOR,1968,2468.48,
South Korea,KOR,1969,2764.15,
South Korea,KOR,1970,2974.81,
South Korea,KOR,1971,3221.67,
South Korea,KOR,1972,3387.89,
South Korea,KOR,1973,3822.05,
South Korea,KOR,1974,4112.6,
South Korea,KOR,1975,4362.01,
South Korea,KOR,1976,4855.94,
South Korea,KOR,1977,5367.79,
South Korea,KOR,1978,5856.5,
South Korea,KOR,1979,6265.89,
South Korea,KOR,1980,6064.04,
South Korea,KOR,1981,6398.85,
South Korea,KOR,1982,6821.47,
South Korea,KOR,1983,7611.73,
South Korea,KOR,1984,8303.52,
South Korea,KOR,1985,8859.36,
South Korea,KOR,1986,9756.21,
South Korea,KOR,1987,10864.97,
South Korea,KOR,1988,12039.95,
South Korea,KOR,1989,12759.49,
South Korea,KOR,1990,13874,
South Korea,KOR,1991,15056.16,
South Korea,KOR,1992,15712,
South Korea,KOR,1993,16503.43,
South Korea,KOR,1994,17720.4,
South Korea,KOR,1995,19089.3,
South Korea,KOR,1996,20204.56,
South Korea,KOR,1997,21055.95,
South Korea,KOR,1998,19624.69,
South Korea,KOR,1999,21540.69,
South Korea,KOR,2000,23108.02,
South Korea,KOR,2001,23804.44,
South Korea,KOR,2002,25250.64,
South Korea,KOR,2003,25679.25,
South Korea,KOR,2004,26646.5,
South Korea,KOR,2005,27443.28,
South Korea,KOR,2006,28516.48,
South Korea,KOR,2007,29716.57,
South Korea,KOR,2008,30117.73,
South Korea,KOR,2009,29967.56,
South Korea,KOR,2010,31537.77,
South Korea,KOR,2011,32225,
South Korea,KOR,2012,32791,
South Korea,KOR,2013,33588,
South Korea,KOR,2014,34493,
South Korea,KOR,2015,35269,
South Korea,KOR,2016,36103,
South Korea,KOR,2017,37093.22,
South Korea,KOR,2018,37927.61,
